year,nostalgia,love,admiration,joy,sadness,criticism,grief,excitement,anger,empathy,heartbreak,sentimentality,fascination
2012,0.017388280481100082,0.013535029254853725,0.244398295879364,0.03807544335722923,0.06986893713474274,0.09467005729675293,0.02909543178975582,0.030775753781199455,0.028838789090514183,0.02750002034008503,0.2994813024997711,0.055606670677661896,0.05076591297984123
2013,0.030058172190495367,0.009738869349738317,0.22421470846581673,0.0623393591709568,0.07633106131938153,0.1650083778159959,0.025183809530322572,0.06445127747221184,0.04094418133276382,0.04735380652294095,0.06146627064195594,0.07164930565548795,0.12126078024240476
2014,0.027862140391597325,0.023085713667831593,0.10463527361720183,0.0720064517368791,0.051273881650154327,0.1661369233390726,0.048898452169344686,0.10436925744226462,0.03789444784844489,0.0450561532179105,0.102913011238228,0.07587697185909718,0.13999132553610727
2015,0.04806491270652315,0.01984611115441978,0.1254640888723041,0.04099247250409662,0.03591832134799354,0.12823623492329486,0.040070199726280516,0.07348629189858574,0.07513334321590825,0.04485672812865699,0.058778052965275,0.11739280310766528,0.1917604002132349
2016,0.05314827926877255,0.033185917558636716,0.13418356780403565,0.07077206372359188,0.051547368515061545,0.14078524187988362,0.043542248945026715,0.09770563324049479,0.06200677605789421,0.03961931313729798,0.04102985190038853,0.09606021119693607,0.1364135405628073
2017,0.05406304101664645,0.017939539503736997,0.09314450665016516,0.03343403103956531,0.06520806677134759,0.14464840183094035,0.06010465900436248,0.057493823450012936,0.030525921995951947,0.09765222895904857,0.13761737970285517,0.07576215180488961,0.13240624143862648
2018,0.03082960193587481,0.018109030191857153,0.09487571504640142,0.03565581533421982,0.07633772127169008,0.0746147821220778,0.08685040352966863,0.047471217234168424,0.04092805914047308,0.09468188345878945,0.16101373520778256,0.09645229840432476,0.14217977011134286
2019,0.053728802202557914,0.014062933744200153,0.07769658153522474,0.04235735586132218,0.09706102053823108,0.12212789694706953,0.05998440713187155,0.05909368679444442,0.058532178206981256,0.04294370436207988,0.15613286540036425,0.10848337760147117,0.10779517412656475
2020,0.04440773699614437,0.03657855993760024,0.09942265245847963,0.06015505484763384,0.08991598034236598,0.14949839971899648,0.05882039227224695,0.06941786424294896,0.04836532883428859,0.05323687621827108,0.08802091571059312,0.09916477573391999,0.1029954583603672
2021,0.0265944741688694,0.017876426811670783,0.09669057137585085,0.07296038522550699,0.06930506875951084,0.1246467474025919,0.046598475270282665,0.057053175366408956,0.03394982363658012,0.054693715873065644,0.11536083465744151,0.0863910841393888,0.19787920687661903
2022,0.04431528263037069,0.043978592523305174,0.09350658713347887,0.043589228806326874,0.08765368492247494,0.12229562495329732,0.061569169743487175,0.060823122848349384,0.06881111717465001,0.044484455744539034,0.1061599999977697,0.09558843266044989,0.12722469870476089
2023,0.061295814037243164,0.03527220287605671,0.11080026716190926,0.05371851529585623,0.08103643747764766,0.10996064959214887,0.05814563729516998,0.07025520538031957,0.07066727005339932,0.05044105500701931,0.08991910213326486,0.09100935118454868,0.1174784955645865
2024,0.06098354458835259,0.03184923507766334,0.08517053621717084,0.04321087667592407,0.0654014260954214,0.1918283791161446,0.05111807935250505,0.07091102052102627,0.06124721946701287,0.046558049040662616,0.08473872771596541,0.09445721419127048,0.11252569318249182
2025,0.05688341837399114,0.034611167688969546,0.1078708485801821,0.04216876539360347,0.06996728690543938,0.1120099313690956,0.061683959311885556,0.06737324643342539,0.07781539733593247,0.053927795728678854,0.08930404561090932,0.1059051032035837,0.12047903094885391
2026,0.06941952126654927,0.024714574306434704,0.10748713140820278,0.04649079971965626,0.0699027852465796,0.10814738712025103,0.06152059988280005,0.07920754153754449,0.07482186541528969,0.05786216384818306,0.10198749845254086,0.08153372500004392,0.11690440500756841
