year,nostalgia,love,admiration,joy,sadness,criticism,grief,excitement,anger,empathy,heartbreak,sentimentality,fascination
2008,0.22030821442604065,0.005760474596172571,0.17171600461006165,0.06471024453639984,0.002198598813265562,0.007857359945774078,0.003548969281837344,0.0444934144616127,0.0007197989616543055,0.028730709105730057,0.001282821292988956,0.32374387979507446,0.12492941319942474
2010,0.0447327122092247,0.01779966801404953,0.11480104178190231,0.024482909590005875,0.24168661236763,0.06223815679550171,0.011313963681459427,0.13833975791931152,0.009490390308201313,0.02166805788874626,0.053129080682992935,0.207468643784523,0.05284898728132248
2011,0.052470024675130844,0.07829998433589935,0.13531042635440826,0.05127374827861786,0.054126348346471786,0.05013011023402214,0.08274479955434799,0.06419911235570908,0.037923555821180344,0.1154010221362114,0.036974456161260605,0.15361182391643524,0.08753461390733719
2012,0.031724750101085726,0.1126714719939457,0.10397646207569212,0.037836394076504284,0.04098620477763818,0.2070056932386334,0.06320179104105955,0.052474820864058455,0.06368313309175135,0.0382226373231369,0.08772617303551501,0.054255333693408236,0.1062350869135082
2013,0.08135446258633908,0.16972592158662708,0.05939819758420338,0.04871936014657267,0.06635749020115728,0.10766937780992787,0.05625002503496048,0.04786028473084253,0.05050444412179279,0.03537862602345759,0.11943106241797674,0.10150480830756908,0.05584592953164452
2014,0.04959557428842505,0.04277899498861927,0.0853104242064873,0.05952782158098845,0.056649914471952355,0.1732623664273819,0.05170807916335324,0.08187454630096529,0.06583571400287413,0.04661324445983743,0.04573922953173083,0.08014908526376584,0.16095499718350123
2015,0.07711788190898877,0.037421213016051204,0.09187340800550273,0.05519905472450917,0.05391138922375947,0.10475239044965864,0.06332690821243903,0.06698359547501578,0.11973374016581251,0.036571061220204475,0.08287209151911003,0.0908323883694656,0.11940488670962268
2016,0.08720737783273197,0.03529912688066545,0.11078888428551376,0.04816496760617732,0.05427852603947995,0.14606000269165031,0.04393834079373025,0.10911418665105277,0.07252263249845277,0.05503318619992095,0.03931675027592625,0.08788159581018672,0.1103944159803033
2017,0.061722351836439704,0.06407162845698526,0.09900049130444472,0.05706251866884064,0.06696151397751492,0.19018924566221834,0.07262172284340462,0.06315449898371502,0.05012038990689532,0.04046399666517815,0.06268948896209806,0.08495072852668938,0.08699141517202634
2018,0.042204754663400075,0.029395421158832386,0.08066566402313655,0.03705308903491513,0.07848547071747045,0.13245455818797117,0.07554131249502037,0.08706125202823792,0.0830311559681942,0.053761013777161686,0.09411943250298907,0.06780542984177926,0.1384214421614781
2019,0.05935770017847743,0.041595509858349713,0.09895776977860038,0.03679355197552721,0.07681999605221303,0.11937183146964515,0.06076694318673177,0.09963893024869556,0.06546174147895054,0.04605921093529985,0.04933623242017313,0.09095735367013033,0.1548832249178878
2020,0.08538321151296302,0.07249425163521112,0.07845042050096568,0.03625564522619218,0.05877895545319922,0.133421770802123,0.045110382535241966,0.06428126973815587,0.049282173256564414,0.06844968641364578,0.0823931811427891,0.11986675070707066,0.10583230339647937
2021,0.06119830191617396,0.05305474925192478,0.09409420988911021,0.042490579674391765,0.07548735210789585,0.16626893888515068,0.04757521087989331,0.05997645311005317,0.04880520587593401,0.04540959678474421,0.07441328829421404,0.1150095572903163,0.11621655899505084
2022,0.06238186019509076,0.055064042265505174,0.09958750577832552,0.061698574398856953,0.06645811720949393,0.1548185222329004,0.042303756872467894,0.07566253175793528,0.045048602897558264,0.04522226108290572,0.0710677763701901,0.10055063794235981,0.1201358027506079
2023,0.07260231789347175,0.06640213771528142,0.10094036975927902,0.06857922179412924,0.06040050883252156,0.08706715598797483,0.05404542486227629,0.06860528254324103,0.04061898795546392,0.05179678661016532,0.0912995249492049,0.12030896149828953,0.11733331793230938
2024,0.07612358519483102,0.060161197297447115,0.1046751626544318,0.06764288741312931,0.05782319745681401,0.108608439064255,0.057441734789302173,0.07166258486570207,0.06867661540535919,0.053313297977333515,0.07126252338061495,0.10216686974819249,0.10044190905739256
2025,0.06907535341306058,0.05058459740551941,0.09624870155438929,0.0500659022594762,0.07566592585027,0.11466494389212914,0.059521430227817244,0.07171643520663819,0.07241491214165603,0.048895686224699884,0.07457737159177034,0.09562405814428108,0.12094467698424471
2026,0.07434762157814072,0.0585550675603903,0.10267493276835679,0.0558608312268329,0.06270468789808598,0.08503250885618122,0.06006277188219878,0.08910839638106532,0.06322614575063942,0.050662736477583195,0.06616550003817151,0.10317022869911298,0.1284285676329873
