year,nostalgia,love,admiration,joy,sadness,criticism,grief,excitement,anger,empathy,heartbreak,sentimentality,fascination
2008,0.03469868004322052,0.01072340551763773,0.13015379011631012,0.04031750559806824,0.03856997191905975,0.29166826605796814,0.046594128012657166,0.05245133861899376,0.06594900041818619,0.02971344068646431,0.019644375890493393,0.09138910472393036,0.14812691509723663
2010,0.022129978984594345,0.014343139715492725,0.17138394713401794,0.03118734434247017,0.01858948916196823,0.14133614301681519,0.07414860278367996,0.10787796229124069,0.07195211201906204,0.033271342515945435,0.043126076459884644,0.12575998902320862,0.14489389955997467
2012,0.04541512697377872,0.023326237965195045,0.07740801580005273,0.04352440044216615,0.03365831265645132,0.3895666145033255,0.026387338226914483,0.08754693401159586,0.04537060573879632,0.027909660530543803,0.05374573833932998,0.05400880956499904,0.09213219884708572
2013,0.03533074094913137,0.022111771430853806,0.09438014764728457,0.06443972605779437,0.06393781277775659,0.22386852181924885,0.041560485683548434,0.08624921556143968,0.11267593051125015,0.041675097579978525,0.05043824963773784,0.0662574885732056,0.09707480762026668
2014,0.038928480163041054,0.02272900219285051,0.09352261427770422,0.05363707379949967,0.04437679875610367,0.22236293749347408,0.05319713733856279,0.0889351588152154,0.08026091318275214,0.04443617887716955,0.057578655239560336,0.06729412032047491,0.13274093741716828
2015,0.05045051689081395,0.024284661787048956,0.10836146501703192,0.033529902181806785,0.06601038832014779,0.16391219723150027,0.07033683473814971,0.07624336562081012,0.0976419318817129,0.04302517550618839,0.061734174686863534,0.08308801905744828,0.12138136624189848
2016,0.05767931223159567,0.052378911446014954,0.08402836564207627,0.0427230155189699,0.03895687089589912,0.21396263849566735,0.04275631789572626,0.0927593970915214,0.09532271800673611,0.0414888595973718,0.042705754768879466,0.055349224601827916,0.13988863674568988
2017,0.030466647844588475,0.01966239263687819,0.09771193194995804,0.07507611263681079,0.048734165651487506,0.2639225890863725,0.038535266982241585,0.0973141267479465,0.06671757160249908,0.03695962529527182,0.04181709026517744,0.060985285336674,0.12209718886611862
2018,0.052058312854063184,0.025665026985693312,0.1273665512686747,0.08134401400481296,0.046955453923078254,0.15814160022474352,0.051240329182792844,0.08474919240350676,0.05146259198498185,0.05104352787701907,0.04909089558686201,0.06845674779024913,0.15242576301427724
2019,0.06417237683524225,0.045048308856568714,0.12831195604142753,0.060472914234323556,0.04932814178078673,0.12315194815570532,0.03950826563807421,0.08949201874608217,0.05895063404513653,0.04437946188155302,0.04620754856313037,0.08616424527365801,0.16481216676359953
2020,0.05514705350542,0.03208951204377415,0.11462105389064482,0.060915747977929965,0.03938050509593884,0.17094820350045428,0.042108528190765715,0.0985918673438423,0.06003669787756208,0.04867892573635429,0.04618998288995853,0.08334261605604272,0.1479493131438115
2021,0.059279712822449836,0.04440636576757332,0.09497378227868514,0.06995256609820609,0.06469927882594957,0.1677422289484185,0.04187150392284457,0.08115124012121552,0.05753078908157785,0.035727460333770694,0.06443263249815923,0.09797233307823318,0.12026010242641705
2022,0.047469886032936594,0.028574683393303983,0.11347490291273192,0.06983383166380899,0.04834378868290723,0.19380421655098473,0.04527156607641675,0.07910422461202013,0.06229096361381824,0.04203836370873217,0.04954396603698702,0.09275168946300215,0.12749791587247103
2023,0.0501346202759149,0.031606453387207696,0.12772757975533844,0.10084373924512365,0.03973199510353234,0.12606714035627115,0.04609459737224465,0.08325723656543078,0.0656571593226128,0.04252759590196603,0.0551782784622161,0.07912069202553744,0.15205291169039195
2024,0.06774578006874622,0.031223056231639887,0.10437327570052093,0.08055873919165567,0.05106942504385182,0.13351770815424574,0.054483642988172036,0.08308735472363186,0.08353019307066391,0.04623142107446349,0.059129810212976065,0.0820600934641238,0.12298950394526427
2025,0.07440149576535925,0.03221978687009855,0.11618216786300975,0.05947510323853129,0.05155274749319317,0.1174227242016715,0.051345443377537194,0.0896215607330314,0.077682507684035,0.05090436612339183,0.04984134341410227,0.0882929903796054,0.14105776471817605
2026,0.08955082459916587,0.027847698206979025,0.12819535855573683,0.059423442400820585,0.044797307542248754,0.11319986266130991,0.0429140870998147,0.10222646718000614,0.07694673757611284,0.04170424925284838,0.03362469468917971,0.08734114039303272,0.152228125062302
