year,nostalgia,love,admiration,joy,sadness,criticism,grief,excitement,anger,empathy,heartbreak,sentimentality,fascination
2019,0.03235703947682414,0.02039123840089199,0.1269121270606444,0.08068530206036016,0.041713481768646254,0.13743522988369133,0.037256385519910194,0.10354896118847964,0.08273100647123867,0.0429503731801222,0.06236559756774144,0.08323534716360378,0.14841791108590105
2020,0.03813676140241187,0.022014243896304922,0.11364976745585847,0.07060413249715224,0.049346637298531455,0.15596097341127474,0.041348837491682146,0.08719056853653277,0.05554364127116146,0.04541779467752191,0.06140109310082315,0.08886306986781184,0.17052248118391786
2021,0.04690990585194881,0.02675085620233996,0.10214610635409586,0.05466324790158784,0.06609588394158537,0.14212720777408508,0.04165966121169374,0.08920696733729569,0.057969275895150794,0.05562578766574192,0.050581573261445904,0.09261870075629894,0.17364482176251722
2022,0.049236392234328887,0.030049071121864675,0.0901156031214659,0.07045474030715544,0.04841238965824632,0.16978299330500904,0.05016936241153553,0.10002887201977173,0.06707125509533754,0.040626687507297234,0.04858199002062982,0.06749716949858427,0.16797347531716142
2023,0.04452634627191464,0.029280240834755736,0.12261359659753836,0.05247222374820475,0.07564594092308417,0.14066100944652507,0.03893312718826883,0.07960645058523379,0.07961037759441085,0.04088824990314674,0.0654911477780187,0.09555674050957524,0.13471455256044482
2024,0.06471176025721419,0.0285398473147649,0.10901731206615685,0.08178082181697736,0.06362067252810918,0.10389500938243561,0.05119280412802176,0.0921875705172276,0.07553582675383952,0.04965169139999187,0.056674609339796525,0.09011936670623885,0.1330727093279628
2025,0.04988151200264075,0.02994962304431227,0.105827644691448,0.055257164723235934,0.0726420937249001,0.14231784897878944,0.04696400829241098,0.08518058468694137,0.06810600930087307,0.04584502035193406,0.05993164743422667,0.08921184027786794,0.14888500932789517
2026,0.05885052138348512,0.03639130913416101,0.10116833255746928,0.06233270757639927,0.07341849048151798,0.1660008181335584,0.03604769909902352,0.06476697840952655,0.0834642475689729,0.029362005812820734,0.0554191484347358,0.09670507289101785,0.13607264770081193
