year,nostalgia,love,admiration,joy,sadness,criticism,grief,excitement,anger,empathy,heartbreak,sentimentality,fascination
2010,0.021234726533293724,0.0028806470800191164,0.006138377822935581,0.02208256535232067,0.6606331467628479,0.021020641550421715,0.05314226076006889,0.005260048899799585,0.0035554717760533094,0.045628540217876434,0.09626400470733643,0.053521618247032166,0.008638055995106697
2012,0.03275138884782791,0.012962783686816692,0.24598915874958038,0.14190611243247986,0.0023649183567613363,0.056613512337207794,0.014167865738272667,0.1662766933441162,0.006273896433413029,0.0625181570649147,0.003993535414338112,0.08496002107858658,0.16922202706336975
2013,0.016795972362160683,0.00853811390697956,0.16908404231071472,0.11098767071962357,0.025647036731243134,0.12943050265312195,0.013540469110012054,0.07479410618543625,0.022462110966444016,0.12639325857162476,0.024427663534879684,0.1594398021697998,0.11845923960208893
2014,0.05408894891540209,0.015850115172339207,0.17878566275943408,0.06740053776990283,0.031059456932725327,0.06801365677154425,0.03317122748403838,0.058826481302579246,0.09178949350660498,0.09282891655510123,0.03454102914441715,0.08126111768863419,0.19238332862203772
2015,0.10636310621363218,0.041006048357551866,0.10056992143881126,0.07344261552792429,0.03745791708663757,0.10962328420636433,0.05651255278171249,0.10274361090256216,0.06938357030351956,0.04455314322166104,0.03697855958124735,0.07463762628250435,0.14672808862123332
2016,0.040503623427423606,0.03034590197237967,0.1507061761424109,0.06109599358009518,0.041649373314419355,0.1443588074093827,0.051948949795600184,0.08962397182008337,0.061792775197276086,0.051589285980550965,0.04237373585533422,0.07791212744052621,0.1560992724570555
2017,0.05752341400930715,0.03293883280518154,0.10751623299085733,0.07400261739156011,0.02950993164047373,0.19682058040052652,0.031212083152213105,0.0956504856532609,0.05183777727440677,0.04920417160698862,0.06032125972507691,0.09517663742669603,0.11828594299202616
2018,0.05020010474820376,0.033205119682459934,0.1261084973381032,0.06732445825537936,0.06900593650378857,0.10473294810890128,0.0506712846533048,0.07207135697420007,0.04810765351559209,0.06273479487422955,0.08185981281905443,0.0951297137665188,0.13884832312607773
2019,0.07328528885554335,0.03187084048699782,0.13240163273805988,0.0771639807607815,0.049556402740961236,0.10900860592011039,0.04420072523475114,0.054253072223771494,0.049888466874513156,0.06009374733903195,0.051045328602624764,0.11638854803776046,0.15084336071002555
2020,0.08609245079556722,0.03376649778542591,0.14370142681241868,0.07062496767322059,0.07684865520995002,0.053674985639100545,0.04867291854290145,0.06415200992612374,0.05563049877380952,0.05699440502567338,0.08552725058930088,0.11908582669941271,0.105228092061575
2021,0.0793336465907266,0.04766287295811139,0.11508959654364304,0.09680680016861241,0.02764928958785553,0.12133783231687706,0.02504229506053029,0.07401587070876227,0.027503649172473853,0.10106950052987157,0.03295444205899837,0.11072925659954042,0.14080494346856975
2022,0.04273055743131807,0.034727558831364934,0.12535359495097045,0.12902330577079227,0.035446872862801626,0.08853237009214328,0.02566716911963436,0.07988302330728922,0.03996073995186835,0.0435438388640887,0.07311283794601232,0.11064921227857283,0.171368938869056
2023,0.062037063413487,0.04959095121166656,0.13723304590210747,0.07378202601564865,0.035801755200585816,0.09271561999921553,0.042588664237199966,0.08790950470527552,0.066652277926106,0.04913595235705458,0.06232691669627205,0.09578694871552486,0.14443927097728976
2024,0.08459848669358169,0.035733142363816674,0.10356510230762102,0.07920085409736083,0.04876075461073462,0.11100097544943316,0.050564387288862124,0.08198293107955561,0.0946679117680706,0.04511813961819296,0.051636453840182804,0.09735316418988829,0.11581770203986759
2025,0.08319701567450737,0.036354230534680565,0.10668155821075705,0.06023831378494801,0.04777262159892878,0.0930658967868155,0.048231452857143524,0.08937087921512048,0.0895575408173424,0.05693925274526827,0.0528272152906558,0.10262627188392939,0.13313775446816567
2026,0.1451857742508445,0.02404325161823782,0.10565196028200247,0.06629969334775541,0.05373305933816092,0.06425679633822337,0.043079753309380055,0.08478649586583453,0.06461807827918495,0.0432225199321569,0.06186215447816664,0.11634929160661905,0.12691117328823912
