year,nostalgia,love,admiration,joy,sadness,criticism,grief,excitement,anger,empathy,heartbreak,sentimentality,fascination
2016,0.1207969126544578,0.07046731278608141,0.07133113184608944,0.09691059553660877,0.055716646560090136,0.07889266958620458,0.03208746879975846,0.0710790489871782,0.03428229814664683,0.02610238985656185,0.03864396330126542,0.1539787804679741,0.14971079525942424
2017,0.07223976311587282,0.04579309401943621,0.08583889973528888,0.08888780210690564,0.055213715709364064,0.137421790463182,0.04193841822816889,0.0788776073036091,0.07102706754176058,0.0395132082517602,0.05428784813668129,0.10584622692212739,0.12311456683307877
2018,0.0879756168604663,0.05290782841767888,0.09294751856840221,0.05385078672112785,0.08421523178687824,0.0507781315234179,0.0371021276426225,0.10826362167861606,0.015816033750724608,0.035373688937464454,0.09571133073916836,0.19119023924549,0.09386784750190334
2019,0.0966384909614146,0.035171638204451273,0.1037264174756107,0.04913140925228459,0.07535273457566898,0.10445794598726323,0.053887215378873664,0.06025107199217931,0.07588888781674959,0.03832985653288503,0.08746199160016822,0.1249324863474668,0.09476984421002026
2020,0.10234183034583638,0.10959820504827841,0.08718286142350626,0.0692434660692808,0.0398036406559396,0.056406241391584164,0.05164254219562597,0.07680737852989733,0.09880326194630609,0.03736380943632146,0.05946944972891424,0.11219628514337253,0.099141020200056
2021,0.06010631197394071,0.04895494996403662,0.10732350409047058,0.07345289193915042,0.065443419216328,0.12443151048474485,0.05221737719873175,0.09549418627782624,0.04737897984528139,0.04460184205041967,0.07817423800567304,0.10422027288355358,0.09820051666679092
2022,0.08521067214854136,0.05315839924501954,0.10762287540539346,0.07725109911091083,0.057690174255148864,0.1106520149110538,0.027320147111485667,0.08521276800276083,0.03173318284128775,0.04995252152778978,0.05426012082484738,0.14692995518064897,0.11300604950892942
2023,0.050174048702919596,0.04790344156503832,0.09983101537464449,0.05533241721632367,0.06520907464361608,0.14778884670366021,0.04429338256441729,0.06979120839076805,0.04033633893901098,0.039001715179872165,0.08537243798962019,0.10146382020887579,0.15350224892251085
2024,0.0737083365328967,0.047124105509749,0.09554340439148148,0.0591672018298996,0.06659376837870054,0.12366454855877448,0.049003768177457746,0.07292443210964977,0.04809192943155501,0.0456418842810901,0.10330144522705577,0.10781708811340399,0.10741807929355211
2025,0.07779317182646926,0.06599979061542083,0.09969211641453227,0.061903331617410656,0.07614844906937614,0.11236059868647337,0.04964360105060019,0.052323964737637806,0.03881892748024215,0.04159610139804518,0.0957367493951255,0.10856073683946749,0.11942245688605121
2026,0.06764491425514842,0.07097189305793672,0.10525355182764004,0.06839658741299964,0.06307084237088581,0.09966713633342068,0.06171008309915143,0.07259758237023362,0.06707291620220392,0.052759301967593895,0.07122731231460099,0.08798675062585802,0.1116411338220028
