year,nostalgia,love,admiration,joy,sadness,criticism,grief,excitement,anger,empathy,heartbreak,sentimentality,fascination
2014,0.029872141549179904,0.07287268774348278,0.08485248615832813,0.0514200685798152,0.02972698632000475,0.21705867119406685,0.03811710051442849,0.08982559919463598,0.06757560493629884,0.04080759056216456,0.04711706184394119,0.1236062104287861,0.10714781156597997
2015,0.031266231477696624,0.08409037325162391,0.11519442071777576,0.03949451668098614,0.054582407842534424,0.1605730481362132,0.04550210080467933,0.06443307604025968,0.07351869815220918,0.04432359263402299,0.07713869254619096,0.10395126238429818,0.10593158536244915
2016,0.0689257365886885,0.03880084244435455,0.06794729945321466,0.036722059243622006,0.08513851039457637,0.22305344831315324,0.03767514569893585,0.07700961009786984,0.050770347223170094,0.03176490438687713,0.03879305711817145,0.0764876273280227,0.16691141326101877
2017,0.047552350152072424,0.05608139659672585,0.08266115939350367,0.05611267371111301,0.06396626889315235,0.20704972275479913,0.037974078224475724,0.04513725864509828,0.03825251273322834,0.04726534179009204,0.08166871538719235,0.14206154244305266,0.09421697672147418
2018,0.0439550782178345,0.11336779980845815,0.0936435801415418,0.07738622048039313,0.03352940329689645,0.10485943078624207,0.047883796871211345,0.1656960532793752,0.049939842997234626,0.037138238244857076,0.03393458423484282,0.07895833347819838,0.11970766800493796
2019,0.04541884136433578,0.0552103853028151,0.09447671758110672,0.04253818361242096,0.06516005807311541,0.16579066921301003,0.045247887352420676,0.08137972001503395,0.04347424488245792,0.04516805299892178,0.07005549383966254,0.09815707165096803,0.1479226539431414
2020,0.05379458345668433,0.053985761438143445,0.10928554994109423,0.042854633584159287,0.051548217897958305,0.19477347132311837,0.031630963194460425,0.08200542282602286,0.07184597553226026,0.044265680499885184,0.04392150509251987,0.10703569723369732,0.11305254059907509
2021,0.03772100675825876,0.10306956818571623,0.09501863383358038,0.05989755802778484,0.04624198300431552,0.10617015704315798,0.04504475026115067,0.06564748076231502,0.04074754387742443,0.05723026455675956,0.088943412493591,0.13076522985549177,0.12350239420749305
2022,0.03685218492206537,0.05186414855339055,0.10187704700906322,0.06772766537823767,0.041849026301840564,0.12661633539312292,0.06417897465937543,0.07721165840355855,0.06916957936899842,0.045594160849193356,0.08221247211660979,0.10578899900868254,0.12905774875631873
2023,0.03801209156605307,0.0909170919369143,0.09938116798318442,0.0645972150911344,0.04267874964734864,0.1304837244678833,0.037563986430498714,0.07030995842469097,0.05582404528952649,0.05717189612706685,0.05599669101845354,0.12779340926222924,0.12926995788875906
2024,0.05930054673689209,0.07793836972314826,0.11775615713084149,0.08878993053070586,0.05940477404107994,0.07391672615662812,0.043851193712897606,0.07682343859758865,0.04829017993183927,0.043057401790660296,0.07178287042341995,0.1180671827358839,0.12102121686844586
2025,0.0653869636415479,0.05994270335287753,0.10771044385963521,0.05989637648191031,0.055512181090386394,0.09309596412072217,0.05564246171944004,0.08733402853121314,0.06547863202159429,0.048918634502582506,0.06342607356527495,0.10134034121783499,0.13631520383035542
2026,0.059984888641845646,0.034034281715612395,0.10946012195921241,0.05644945709065233,0.05982607976216507,0.13667975946125868,0.04638120382232695,0.09038819906115989,0.051645906082442856,0.04915961022064795,0.056900648837274026,0.11530459990935374,0.1337852454584618
