movie,platform,review_text,date,year,rating,clean_text
Schindlers List,letterboxd,"""It's Hebrew, it's from the Talmud. It says, ""Whoever saves one life, saves the world entire.""""(Ben Kingsley as Itzhak Stern)Hi everybody, today I present you our number 3 from our Top 111 List. First the circumstances how I watched the film lately and then a detailed opinion from my point of view, so feel free to skip the first part. I had this review ready to post for quite a while, but could not bring myself to post…more",27 Jan 2019,2019,★★★★★,its hebrew its from the talmud it says whoever saves one life saves the world entireben kingsley as itzhak sternhi everybody today i present you our number 3 from our top 111 list first the circumstances how i watched the film lately and then a detailed opinion from my point of view so feel free to skip the first part i had this review ready to post for quite a while but could not bring myself to postmore
Schindlers List,letterboxd,"A very edgy film which dares to ask the question 'yeah the holocaust was terrible, but what if it had a happy ending?'. Americans, of course, lap it up.",15 Jul 2019,2019,½,a very edgy film which dares to ask the question yeah the holocaust was terrible but what if it had a happy ending americans of course lap it up
Schindlers List,letterboxd,"“I could have gotten one more person, and I didn’t. I didn’t.”This is one of the films that reverberates with me the most.Schindler’s Listis an immensely-moving film that follows the life of Oskar Schindler, a wealthy businessman who built an enamelware factory in Nazi-occupied Poland, witnessed the atrocities of his fellow Nazis to Jewish people, and did his best to save as much Jews he could, in an environment where armed Germans didn’t even flinch while shooting…more",24 Jun 2020,2020,,i could have gotten one more person and i didnt i didntthis is one of the films that reverberates with me the mostschindlers listis an immenselymoving film that follows the life of oskar schindler a wealthy businessman who built an enamelware factory in nazioccupied poland witnessed the atrocities of his fellow nazis to jewish people and did his best to save as much jews he could in an environment where armed germans didnt even flinch while shootingmore
Schindlers List,letterboxd,This does not feel like a movie that was made the same year as Groundhog Day.,08 Jan 2021,2021,★★★½,this does not feel like a movie that was made the same year as groundhog day
Schindlers List,letterboxd,"Steven Spielberg's masterpiece Schindler's List is a stunningly haunting and emotionally devastating glimpse back at one of the most horrific events in human history ... but it still is so much more than that.""I could have got more out. I could have got more. I don't know. If I'd just... I could have got more ... There will be generations because of what you did ... I didn't do enough! ... You did so much.""Schindler's List is such…more",11 Feb 2019,2019,★★★★★,steven spielbergs masterpiece schindlers list is a stunningly haunting and emotionally devastating glimpse back at one of the most horrific events in human history but it still is so much more than thati could have got more out i could have got more i dont know if id just i could have got more there will be generations because of what you did i didnt do enough you did so muchschindlers list is suchmore
Schindlers List,letterboxd,"80/100A film of many internal contradictions, which to some extent proves to be its undoing. If anything, Spielberg and Zaillian are overly conscientious, constantly abandoning the narrative in order to underline the horror of the Holocaust; the film is at its weakest when it struggles to give the Jews a voice, concocting palpably phony conversations that serve as exposition about conditions in the Ghetto or at Auschwitz. And Schindler is a magnificent character who ultimately gets sold out—not out…more",06 Mar 2013,2013,★★★★,80100a film of many internal contradictions which to some extent proves to be its undoing if anything spielberg and zaillian are overly conscientious constantly abandoning the narrative in order to underline the horror of the holocaust the film is at its weakest when it struggles to give the jews a voice concocting palpably phony conversations that serve as exposition about conditions in the ghetto or at auschwitz and schindler is a magnificent character who ultimately gets sold outnot outmore
Schindlers List,letterboxd,"Nowadays, it’s easy to forget Spielberg earned his reputation at one point. An uncompromising work.",08 Dec 2018,2018,★★★★★,nowadays its easy to forget spielberg earned his reputation at one point an uncompromising work
Schindlers List,letterboxd,"Advanced review here:letterboxd.com/neilbahadur/film/schindlers-list/6/Seeing this in a theatre for the first time, much of the criticism is valid - for example the non-necessity of suspense mechanics given the time and setting - but even that is more in the sense of poor or misguided taste than anything truly harmful. What's striking me now about Schindler's List is that even given its subject, as with all Spielberg there is something mildly perverse about it, so much so that I'm almost…more",10 Dec 2018,2018,★★★★★,advanced review hereletterboxdcomneilbahadurfilmschindlerslist6seeing this in a theatre for the first time much of the criticism is valid for example the nonnecessity of suspense mechanics given the time and setting but even that is more in the sense of poor or misguided taste than anything truly harmful whats striking me now about schindlers list is that even given its subject as with all spielberg there is something mildly perverse about it so much so that im almostmore
Schindlers List,letterboxd,"""i could have gotten one more person... and i didn't!""truly spielberg at his finest and a must-watch film for everyone. why did it take me so long to watch this masterpiece?",30 Dec 2023,2023,★★★★★,i could have gotten one more person and i didnttruly spielberg at his finest and a mustwatch film for everyone why did it take me so long to watch this masterpiece
Schindlers List,letterboxd,"I finished Schindler’s List not knowing how to feel. I knew that what I had just seen was dealing with a pretty heavy subject matter, and the production quality and performances were done to near perfection, and yet, the film still felt like it was missing something to me. My rating of Schindler’s List may be controversial, but I did not hate it by any means, I just disliked some aspects.It comes down to personal preference really. I didn’t…more",02 Apr 2021,2021,★★★,i finished schindlers list not knowing how to feel i knew that what i had just seen was dealing with a pretty heavy subject matter and the production quality and performances were done to near perfection and yet the film still felt like it was missing something to me my rating of schindlers list may be controversial but i did not hate it by any means i just disliked some aspectsit comes down to personal preference really i didntmore
Schindlers List,letterboxd,What a sad start to my morning :(,21 Feb 2026,2026,★★★★,what a sad start to my morning
Schindlers List,letterboxd,"Action!: The Caps Of Mr. SpielbergAs I lay out my eyes into the screen as Spielberg's magnus opus begins to unfold, I couldn't stop drawing parallels to a parable that seems to always go unnoticed and that's the one about this servant who loses his job and seeing himself in need he comes with a big plan to save his job and in many ways his life. He goes around helping people and helping his employee not because is…more",09 Nov 2020,2020,★★★★★,action the caps of mr spielbergas i lay out my eyes into the screen as spielbergs magnus opus begins to unfold i couldnt stop drawing parallels to a parable that seems to always go unnoticed and thats the one about this servant who loses his job and seeing himself in need he comes with a big plan to save his job and in many ways his life he goes around helping people and helping his employee not because ismore
Schindlers List,letterboxd,"Schindler is a harsh story about the extermination of the Jews but at the same time it is a story in which humanity overcomes cruelty.For me the best direction of Spielberg in which images of fear, horror, hope, degradation and deathThe symbolism of colour in this film is remarkable, as it is recorded in black and white, making us empathise with an era and a situation that fortunately we have not had to live through. In conclusion, Schindler List is a masterful film.",17 Jul 2020,2020,★★★★★,schindler is a harsh story about the extermination of the jews but at the same time it is a story in which humanity overcomes crueltyfor me the best direction of spielberg in which images of fear horror hope degradation and deaththe symbolism of colour in this film is remarkable as it is recorded in black and white making us empathise with an era and a situation that fortunately we have not had to live through in conclusion schindler list is a masterful film
Schindlers List,letterboxd,Geez.I was kind of dreading getting to this on my Best Picture list and now I can confirm I wasn't crazy for feeling that way.,09 Feb 2021,2021,★★★★★,geezi was kind of dreading getting to this on my best picture list and now i can confirm i wasnt crazy for feeling that way
Schindlers List,letterboxd,"I believe that everything that can be said about this film has already been expressed, and I can only agree that it is a masterpiece. It is a devastating film, cold, just like its colors, and I think it is one of the most visually striking portrayals of one of the darkest periods in human history. I do not consider myself an easily impressionable person, yet I often found myself looking away from the screen.However, aside from this, it is truly a disgrace that Ralph Fiennes did not win the Oscar for Best Supporting Actor for his role as Amon Goeth.",04 Jan 2026,2026,★★★★★,i believe that everything that can be said about this film has already been expressed and i can only agree that it is a masterpiece it is a devastating film cold just like its colors and i think it is one of the most visually striking portrayals of one of the darkest periods in human history i do not consider myself an easily impressionable person yet i often found myself looking away from the screenhowever aside from this it is truly a disgrace that ralph fiennes did not win the oscar for best supporting actor for his role as amon goeth
Schindlers List,letterboxd,"“Stern, if this factory ever produces a shell that can actually be fired, I'll be very unhappy.”Truly at a loss for words here. An incredible film (masterpiece) yet it’s so haunting to truly understand and witness what actually transpired to these poor innocent individuals. I honestly don’t think I’ll ever be able to rewatch this film even though it’s so fucking good man.Spielbergwas def in his bag for 1993. Two elite masterpieces from him.Schindler’s Listis definitely a film that needs to be watched at least once in your lifetime. Another banger recommendation fromImri. 💯RecommendationsRecommendations RankedFavorite Films",28 Dec 2024,2024,★★★★★,stern if this factory ever produces a shell that can actually be fired ill be very unhappytruly at a loss for words here an incredible film masterpiece yet its so haunting to truly understand and witness what actually transpired to these poor innocent individuals i honestly dont think ill ever be able to rewatch this film even though its so fucking good manspielbergwas def in his bag for 1993 two elite masterpieces from himschindlers listis definitely a film that needs to be watched at least once in your lifetime another banger recommendation fromimri recommendationsrecommendations rankedfavorite films
Schindlers List,letterboxd,I never thought a movie could make me hate Ralph Fiennes but here we are.,20 Jan 2025,2025,★★★★,i never thought a movie could make me hate ralph fiennes but here we are
Schindlers List,letterboxd,It’s terrifying how much evil humans are capable of.,26 Jan 2022,2022,★★★★★,its terrifying how much evil humans are capable of
