movie,platform,review_text,date,year,rating,clean_text
Parasite,letterboxd,"“If there’s one thing I hate, it’s people that cross the line.”-Mr. ParkNoticing on this rewatch this is talking about the physical lines that separate characters from different classes in many scenes.The fact that Bong and his production team designed a whole ass house with these angles and blocking in mind, and to make it look that good, will never cease to amaze me.{#104 onFavoriteslist} {#1 onBest Movies of 2019list}",21 Sep 2020,2020.0,,if theres one thing i hate its people that cross the linemr parknoticing on this rewatch this is talking about the physical lines that separate characters from different classes in many scenesthe fact that bong and his production team designed a whole ass house with these angles and blocking in mind and to make it look that good will never cease to amaze me onfavoriteslist onbest movies of 2019list
Parasite,letterboxd,fiquei pensando se não tem ninguém morando escondido na casa da ana hickmann,26 Aug 2019,2019.0,★★★★★,fiquei pensando se não tem ninguém morando escondido na casa da ana hickmann
Parasite,letterboxd,"Amazing movie brought together by the cinematography, acting, and score of the movie. Specifically, the cinematography shines in this film. In each scene the movie is separated by an invisible line of rich vs. poor. For each scene, the characters are split in a part from one another representing how they never truly fit in with the other family. Another underlying theme that I found was interesting was the use of height in the film. In each scene the emotions…more",05 Sep 2025,2025.0,★★★★,amazing movie brought together by the cinematography acting and score of the movie specifically the cinematography shines in this film in each scene the movie is separated by an invisible line of rich vs poor for each scene the characters are split in a part from one another representing how they never truly fit in with the other family another underlying theme that i found was interesting was the use of height in the film in each scene the emotionsmore
Parasite,letterboxd,"¿Cómo es que dejé pasar 5 años para verla? Qué película, ese final.Mientras eso no suceda, cuídate.No tengo nada que decir que el mundo no haya dicho ya, llegué tarde pero tampoco me arrepiento, viví la experiencia sin spoilers y eso es lo importante, la disfruté muchísimo, merecidos los premios que ganó.",31 May 2024,2024.0,★★★★½,cómo es que dejé pasar 5 años para verla qué película ese finalmientras eso no suceda cuídateno tengo nada que decir que el mundo no haya dicho ya llegué tarde pero tampoco me arrepiento viví la experiencia sin spoilers y eso es lo importante la disfruté muchísimo merecidos los premios que ganó
Parasite,letterboxd,It’s cool when the Academy gets it right,06 Jul 2023,2023.0,★★★★★,its cool when the academy gets it right
Parasite,letterboxd,"Previous review hereNever has a peach and a ""send"" button been so threatening. That's a testament to an insanely superb screenplay by Bong Joon-ho.Parasiteis one of those films that seems to evoke a lot of genres. It's not one thing. It just is.Multiple rewatches allow you to catch more things you might not have noticed before.A masterclass of writing, filmmaking, and social commentary.99%2019 Ranked: #1My 100 of the 2010's: #15Movie Collection",27 Feb 2023,2023.0,★★★★★,previous review herenever has a peach and a send button been so threatening thats a testament to an insanely superb screenplay by bong joonhoparasiteis one of those films that seems to evoke a lot of genres its not one thing it just ismultiple rewatches allow you to catch more things you might not have noticed beforea masterclass of writing filmmaking and social commentary992019 ranked 100 of the 2010s collection
Parasite,letterboxd,Rich people are naive. No resentment. No creases on them.Rating hasn’t changed.500th diary entry.Watched the B&W version.Like c’mon. What more can I say that hasn’t been said millions of times about this film?????Parasite is a film that only comes once in a lifetime. Once in a generation.I directed to rewatch ‘Parasite’ for the 1 year celebration honour of their Oscar winning night. The night where they came and then they conquered. Winning the holy…more,09 Feb 2021,2021.0,★★★★★,rich people are naive no resentment no creases on themrating hasnt changed500th diary entrywatched the bw versionlike cmon what more can i say that hasnt been said millions of times about this filmparasite is a film that only comes once in a lifetime once in a generationi directed to rewatch parasite for the 1 year celebration honour of their oscar winning night the night where they came and then they conquered winning the holymore
Parasite,letterboxd,"Hey guys, so im not logging this because I watched it. Im logging because me and my friend are trying to find a movie to watch and she may not want to watch of some of the movies I recommend (because they may be slow burn, or more so drama).She wants something that will be a great thriller kinda keep you guessing or on your toes or a really funny comedy. SHes not a fan of slow pace and…more",29 Jul 2020,2020.0,★★★★★,hey guys so im not logging this because i watched it im logging because me and my friend are trying to find a movie to watch and she may not want to watch of some of the movies i recommend because they may be slow burn or more so dramashe wants something that will be a great thriller kinda keep you guessing or on your toes or a really funny comedy shes not a fan of slow pace andmore
Parasite,letterboxd,This film changed my life 4 years ago and made me love cinema.,08 Sep 2023,2023.0,★★★★★,this film changed my life 4 years ago and made me love cinema
Parasite,letterboxd,"The only negative thing about the 4th viewing was that somebody brought a crying baby into the theater. Anyway, check out my earlier write-up on this masterpiece:link.medium.com/QdG86fMem1",05 Nov 2019,2019.0,★★★★★,the only negative thing about the 4th viewing was that somebody brought a crying baby into the theater anyway check out my earlier writeup on this masterpiecelinkmediumcomqdg86fmem1
Parasite,letterboxd,Second viewing.Still a masterpiece.Obviously.► My original review on YouTube,31 Oct 2019,2019.0,★★★★★,second viewingstill a masterpieceobviously my original review on youtube
Parasite,letterboxd,what can i say other than this film is absolutely perfect,26 Oct 2019,2019.0,★★★★★,what can i say other than this film is absolutely perfect
Parasite,letterboxd,"La he visto sin saber absolutamente nada, incluso me creía que iba de un virus zombie o algo por el estilo, pero por lo visto “parásitos” puede llegar a ser más las personas que una enfermedad, tiene muchos trasfondos si estás atento, cine 🍿🪨",24 Jan 2026,2026.0,★★★★★,la he visto sin saber absolutamente nada incluso me creía que iba de un virus zombie o algo por el estilo pero por lo visto parásitos puede llegar a ser más las personas que una enfermedad tiene muchos trasfondos si estás atento cine
Parasite,letterboxd,"Seventh time in theaters, and I know every single beat of this movie by heart to the point that I could recite every minute of it if I wanted to. There's always at least some worry I have because of that in which I'll ever come to a point where this movie loses its luster for me, but instead, it feels like I'm only coming to appreciate it all the more for everything that it stands for. And I think…more",11 Feb 2025,2025.0,★★★★★,seventh time in theaters and i know every single beat of this movie by heart to the point that i could recite every minute of it if i wanted to theres always at least some worry i have because of that in which ill ever come to a point where this movie loses its luster for me but instead it feels like im only coming to appreciate it all the more for everything that it stands for and i thinkmore
Parasite,letterboxd,"""Gente que anda de metrô tem um cheiro diferente.""Parasita continua tão bom quanto me lembrava. A forma como Bong Joon-ho usa da arquitetura no filme, especialmente na maneira de traçar linhas e espaços, maximizando a ideia de estratificação social, é muito interessante.Eis um exemplo de um filme cuja crítica social é obvia e evidente em todas as suas alegorias (o porão como algo inferior, as escadas como ideia de ascensão social etc), até o título (""Parasita"" não poderia…more",09 Apr 2024,2024.0,★★★★½,gente que anda de metrô tem um cheiro diferenteparasita continua tão bom quanto me lembrava a forma como bong joonho usa da arquitetura no filme especialmente na maneira de traçar linhas e espaços maximizando a ideia de estratificação social é muito interessanteeis um exemplo de um filme cuja crítica social é obvia e evidente em todas as suas alegorias o porão como algo inferior as escadas como ideia de ascensão social etc até o título parasita não poderiamore
Parasite,letterboxd,"Bong Joon-ho'sParasiteis aDiscreet Charm of Bourgeoisiewith a thriller spin. At its heart it's about how the poor cannibalize each other in hopes of living a lifestyle of the rich instead of demanding any change from the disparity between rich and poor. And though there are lots of twists, it's the buildup first-to-middle act, pre-twists, that is probably Bong's finest work as a filmmaker. It is precise, machine-like, and funny. And most biting in this satire is…more",06 Sep 2019,2019.0,★★★★,bong joonhosparasiteis adiscreet charm of bourgeoisiewith a thriller spin at its heart its about how the poor cannibalize each other in hopes of living a lifestyle of the rich instead of demanding any change from the disparity between rich and poor and though there are lots of twists its the buildup firsttomiddle act pretwists that is probably bongs finest work as a filmmaker it is precise machinelike and funny and most biting in this satire ismore
Parasite,letterboxd,"2019 RankedIf I haven't mentioned it before, Bong Joon-ho is my favorite director. And this movie blew me away. Equal parts funny and thrilling, while also adding a family dynamic that is surprisingly endearing, Joon-ho crafts a film that successfully wanders through the turmoil of financial inequality.The performances are all brilliant, but I HAVE to talk about my favorite actor, the legendary Song Kang-ho. His character has a innate coolness to him, shown off from his driving scenes…more",14 Aug 2019,2019.0,★★★★★,2019 rankedif i havent mentioned it before bong joonho is my favorite director and this movie blew me away equal parts funny and thrilling while also adding a family dynamic that is surprisingly endearing joonho crafts a film that successfully wanders through the turmoil of financial inequalitythe performances are all brilliant but i have to talk about my favorite actor the legendary song kangho his character has a innate coolness to him shown off from his driving scenesmore
Parasite,letterboxd,"Fuck capitalismThat ""smell crosses the line"" dialogue defines the invisible social divide deeply embedded in their minds eventho the Parks appear polite and pleasant on the surface. Mrs. Kim's reminds Me Kim that ""They're nice because they're rich, not because they're nice people"" strips away that illusion, revealing that their kindness is conditional, stemming from privilege rather than genuine goodwill. Their kindness towards the Kim's were nothing more than transactional which was a late understanding for me kim who…more",02 Apr 2025,2025.0,★★★★★,fuck capitalismthat smell crosses the line dialogue defines the invisible social divide deeply embedded in their minds eventho the parks appear polite and pleasant on the surface mrs kims reminds me kim that theyre nice because theyre rich not because theyre nice people strips away that illusion revealing that their kindness is conditional stemming from privilege rather than genuine goodwill their kindness towards the kims were nothing more than transactional which was a late understanding for me kim whomore
Parasite,letterboxd,"Wow... WOW....I really didn’t expect it to live up to the monumentally high praise that this film has received.... But my god, it somehow managed to surpass them.Parasite is quite frankly flawless in my opinion, I can’t think of a single thing wrong with it. It’s dark, funny, scary... This movie as a concept is something that really should not have worked, the second half of this movie so easily could have gone completely off the rails, but…more",17 Nov 2019,2019.0,★★★★★,wow wowi really didnt expect it to live up to the monumentally high praise that this film has received but my god it somehow managed to surpass themparasite is quite frankly flawless in my opinion i cant think of a single thing wrong with it its dark funny scary this movie as a concept is something that really should not have worked the second half of this movie so easily could have gone completely off the rails butmore
Parasite,letterboxd,"I spent 95% of this movie worrying something bad would happen to the dogs. Otherwise, great!",02 Nov 2019,2019.0,★★★★½,i spent 95 of this movie worrying something bad would happen to the dogs otherwise great
Parasite,letterboxd,"(Spoilers ahead)First things first, this was a beautiful, funny, unique, thrilling and poignant movie and one of my highlights this year for sure.But on a deeper note, I have a real issue with it that I can't shake off and comes up every time i think about it. The depiction of the poor and the rich in general and the notion that terrible things will be the consequence and everyone will suffer if we mix these two social…more",28 Oct 2019,2019.0,★★★½,spoilers aheadfirst things first this was a beautiful funny unique thrilling and poignant movie and one of my highlights this year for surebut on a deeper note i have a real issue with it that i cant shake off and comes up every time i think about it the depiction of the poor and the rich in general and the notion that terrible things will be the consequence and everyone will suffer if we mix these two socialmore
Parasite,letterboxd,yeah i’m at a loss for words,21 Aug 2019,2019.0,★★★★½,yeah im at a loss for words
Parasite,letterboxd,"A humbling glimpse into the many parallels and contrasts between easy-living and a systemic desperation. The wealthy play in the rain — watching it fall with a calmness — while the low class fights to stay afloat in the flooded slums that seem to swallow all kinds of sewage. All the excess waste of the high (literally) class washes down on the undeserving low seated class. Lights flicker as a service, a sign of gratitude to this richParkfamily…more",06 Jul 2025,2025.0,★★★★½,a humbling glimpse into the many parallels and contrasts between easyliving and a systemic desperation the wealthy play in the rain watching it fall with a calmness while the low class fights to stay afloat in the flooded slums that seem to swallow all kinds of sewage all the excess waste of the high literally class washes down on the undeserving low seated class lights flicker as a service a sign of gratitude to this richparkfamilymore
Parasite,letterboxd,On en parle pas assez d’à quel point THE acteur du film c’est avant tout la baraque du film (et pourtant y’a quand même le plus grand acteur coréen ever dedans),02 Mar 2025,2025.0,★★★★★,on en parle pas assez dà quel point the acteur du film cest avant tout la baraque du film et pourtant ya quand même le plus grand acteur coréen ever dedans
Parasite,letterboxd,"Parasite,i'm in love with you.",14 Oct 2020,2020.0,★★★★★,parasiteim in love with you
Parasite,letterboxd,guys wait…… parasite is lowkey kinda good,10 Feb 2020,2020.0,★★★★★,guys wait parasite is lowkey kinda good
Parasite,letterboxd,Now THAT’S what I call an original screenplay. We need more movies like this in the US.,07 Feb 2020,2020.0,★★★★½,now thats what i call an original screenplay we need more movies like this in the us
Parasite,letterboxd,"so like, this films been out for a while now and i was just wondering when everyone was gonna pack up, go home and find another career bc no ones gonna be able to top this.",18 Dec 2019,2019.0,★★★★★,so like this films been out for a while now and i was just wondering when everyone was gonna pack up go home and find another career bc no ones gonna be able to top this
Parasite,letterboxd,capitalism STOPPPP. for real STOP.also shout out to the person that had to get attended to by the ambulance during this. hope you're doing alright.,17 Oct 2019,2019.0,★★★★,capitalism stopppp for real stopalso shout out to the person that had to get attended to by the ambulance during this hope youre doing alright
